row_id,order_id,created_at,item_id,quantity,cust_id,delivery,address_id
1,117,2022-03-29 07:21:35,it009,4,3,1,8
2,120,2023-02-09 11:16:07,it015,3,2,1,27
3,165,2022-09-02 12:22:24,it014,10,22,1,43
4,113,2022-04-19 21:20:11,it018,7,18,1,38
5,130,2022-06-07 12:12:41,it010,3,9,1,26
6,192,2022-11-27 14:35:32,it016,2,47,0,24
7,187,2022-12-12 03:11:57,it002,4,32,1,50
8,187,2022-04-14 18:27:54,it006,2,25,1,18
9,185,2022-08-06 23:05:41,it014,8,30,1,15
10,173,2022-09-04 19:08:52,it025,8,15,1,43
11,129,2022-10-22 21:42:06,it018,6,25,0,43
12,185,2023-01-17 17:57:57,it005,9,16,0,31
13,136,2022-03-20 16:30:23,it001,3,10,0,2
14,100,2022-10-03 01:11:22,it023,3,45,1,18
15,117,2022-05-18 17:47:24,it022,10,37,1,3
16,195,2023-02-04 20:05:01,it027,10,40,0,14
17,115,2022-05-06 16:06:32,it024,6,27,1,36
18,171,2022-05-21 07:57:34,it003,4,20,1,25
19,189,2023-02-22 05:56:18,it027,2,26,1,42
20,122,2022-06-18 11:32:30,it019,5,45,1,39
21,200,2022-03-11 16:52:36,it027,10,34,0,31
22,107,2022-08-03 21:26:52,it019,7,46,0,38
23,199,2022-03-30 18:18:40,it019,7,29,1,11
24,133,2022-11-17 10:31:25,it032,5,1,0,14
25,109,2022-08-24 16:38:38,it021,6,7,0,1
26,162,2022-10-11 00:49:51,it007,7,16,0,47
27,158,2022-07-01 16:37:30,it024,5,20,0,1
28,170,2022-10-12 14:42:37,it019,7,1,1,10
29,163,2022-05-16 10:40:43,it027,5,6,0,16
30,155,2022-06-01 05:30:12,it003,1,26,1,9
31,124,2023-03-13 11:50:17,it019,2,48,1,42
32,165,2022-05-31 15:17:28,it029,7,15,1,14
33,152,2022-05-15 11:47:09,it007,5,8,0,28
34,183,2023-02-23 08:14:32,it005,7,47,1,3
35,147,2023-02-28 09:35:34,it010,1,34,1,13
36,116,2022-07-08 02:34:20,it033,8,30,1,29
37,126,2022-03-07 11:35:05,it032,1,47,0,1
38,198,2022-10-06 18:14:49,it002,2,1,1,13
39,131,2023-01-26 18:24:41,it014,8,26,1,5
40,190,2022-09-05 14:23:35,it003,9,28,1,21
41,123,2022-07-26 02:08:13,it016,9,27,1,39
42,156,2022-04-07 21:13:46,it006,1,31,1,23
43,103,2022-07-16 11:23:36,it008,3,42,0,35
44,102,2022-07-05 22:01:33,it003,5,17,1,32
45,145,2022-07-21 21:08:07,it027,4,9,1,5
46,170,2023-02-20 15:25:25,it006,4,33,1,15
47,169,2022-07-08 04:28:24,it028,3,20,0,8
48,158,2022-11-07 20:39:48,it016,1,4,1,6
49,152,2023-02-23 21:15:01,it021,9,10,0,37
50,107,2023-01-03 08:30:43,it005,5,13,0,41
51,142,2022-08-31 17:29:57,it022,5,42,0,27
52,132,2022-08-17 06:45:50,it006,8,14,1,25
53,174,2022-08-31 13:49:51,it002,4,49,1,26
54,107,2022-09-08 00:24:59,it013,5,8,1,24
